State,ZIP
TX,77414
TX,77474
TX,77422
TX,77459
TX,77471
TX,77503
TX,77521
TX,77530
TX,77584
TX,77661
TX,77701
TX,77855
TX,77964
TX,78006
TX,78119
TX,78130
TX,78155
TX,78238
TX,78218
TX,78221
TX,78222
TX,78240
TX,78411
TX,78415
TX,78596
TX,78611
TX,78641
TX,78655
TX,78753
TX,78757
TX,78962
TX,79098
TX,79045
TX,79046
TX,79325
TX,79567
TX,79605
TX,79782
TX,79836
TX,79848
CO,80003
CO,80011
CO,80012
CO,80031
CO,80215
CO,80219
CO,80220
CO,80229
CO,80232
CO,80304
CO,80907
CO,81008
WY,82604
ID,83201
ID,83301
ID,83714
ID,83706
ID,83843
UT,84120
UT,84401
UT,84604
AZ,85016
AZ,85020
AZ,85021
AZ,85213
AZ,85210
AZ,85250
AZ,85251
AZ,85281
AZ,85283
AZ,85301
AZ,85308
AZ,85705
AZ,85730
AZ,85741
NM,87108
NM,87825
NM,88001
NV,89101
NV,89102
NV,89106
NV,89122
NV,89130
NV,89512
NV,89502
NV,89521
NV,89701
CA,90006
CA,90022
CA,90044
CA,90249
CA,90262
CA,90501
CA,90604
CA,90631
CA,91001
CA,91204
CA,91301
CA,91505
CA,91706
CA,92879
CA,91722
CA,91733
CA,91744
CA,91767
CA,91768
CA,91770
CA,91945
CA,92054
CA,92105
CA,92126
CA,92223
CA,92311
CA,92335
CA,92543
CA,92374
CA,92507
CA,92683
CA,92805
CA,93033
CA,93036
CA,93110
CA,93308
CA,93535
CA,93602
CA,93647
CA,93702
CA,93710
CA,94040
CA,94558
CA,94568
CA,95008
CA,95125
CA,95205
CA,95210
CA,95240
CA,95370
CA,95336
CA,95341
CA,95354
CA,95666
CA,95667
CA,95670
CA,95688
CA,95817
CA,95827
CA,95965
CA,95993
CA,96002
CA,96101
HI,96819
OR,97005
OR,97206
OR,97213
OR,97223
OR,97267
OR,97305
OR,97330
OR,97470
OR,97501
OR,97603
WA,98028
WA,98033
WA,98107
WA,98118
WA,98126
WA,98133
WA,98198
WA,98203
WA,98226
WA,98312
WA,98405
WA,98444
WA,98506
WA,98632
WA,98661
WA,98665
WA,99204
WA,99216
WA,99218
WA,99301
MN,55314
MN,55355
IA,50010
IL,60613
TX,77587
MN,56293
MN,56007
PA,18352
NM,87102
CO,80209
MA,02346
PA,15332
CA,90021
OK,73044
OK,73064
OK,73601
OK,74006
OK,74354
CA,93728
CA,90031
CA,91320
MN,56285
MN,56277
MN,56241
OK,74730
OK,73018
OK,73045
OK,73051
OK,74352
OK,73071
OK,73150
OK,73128
OK,74361
OK,74868
OK,74804
OK,73096
UT,84116
UT,84010
MN,56334
UT,84320
UT,84115
NV,89883
CO,80446
IA,50022
WI,54115
IL,60408
IL,62526
IL,60901
IN,46534
IL,60046
IL,61341
IL,61858
IL,61764
IL,61802
IL,62471
IL,60970
IL,60098
MD,20724
CA,94105
CA,94108
CA,91330
CA,90049
NY,14606
MN,55414
MN,56264
MN,56258
MN,56229
CA,91007
ND,58554
CA,91741
CA,90230
CA,90034
CA,92705
CA,93012
CA,92821
CA,93022
CA,91773
CA,93009
CA,93003
CA,90293
CA,90280
CA,93401
AZ,85017
MN,56520
MN,56201
UT,84123
NC,27956
NC,27574
NC,27705
NC,27565
NC,27508
NC,27537
NC,27589
AL,36467
AR,71765
NC,27607
NC,27265
NC,28124
NC,28034
NC,28092
NC,28681
NC,28658
NC,27105
NC,28112
NC,28214
NC,28152
NC,28625
MI,48109
CA,93454
CA,93446
CA,93405
LA,70121
MN,55037
TX,76051
MN,56240
MN,55413
WA,98438
MN,56222
MN,56101
OK,73738
CO,80723
